soc_code,occupation_title,Oral Comprehension,Written Comprehension,Oral Expression,Written Expression,Fluency of Ideas,Originality,Problem Sensitivity,Deductive Reasoning,Inductive Reasoning,Information Ordering,Category Flexibility,Mathematical Reasoning,Number Facility,Memorization,Speed of Closure,Flexibility of Closure,Perceptual Speed,Spatial Orientation,Visualization,Selective Attention,Time Sharing
13-2011,Accountants and auditors,3.82,3.94,3.94,3.88,3.06,3.0,3.88,3.94,3.82,3.82,3.25,3.94,3.94,2.88,2.88,3.06,2.94,1.0,2.25,3.18,2.38
27-2011,Actors,4.0,3.88,4.12,2.88,3.0,3.75,3.12,2.88,2.88,2.88,2.75,1.0,1.12,3.88,2.12,2.25,2.0,1.0,2.62,3.0,2.75
15-2011,Actuaries,4.0,4.0,3.88,3.75,3.12,3.12,3.88,4.12,4.0,3.88,3.88,4.5,4.25,2.75,2.75,3.38,2.88,1.0,2.5,3.38,2.5
11-3010,Administrative services and facilities managers,4.0,4.0,4.0,3.88,3.12,3.0,3.5,3.62,3.5,3.12,3.12,2.62,2.75,2.62,2.12,2.88,2.75,1.5,2.88,3.12,3.12
25-3011,Adult basic and secondary education and ESL teachers,3.88,4.0,4.25,4.0,3.25,3.25,3.5,3.5,3.25,3.0,2.88,2.88,2.88,2.75,2.62,3.0,2.62,1.0,2.0,3.0,2.75
41-3011,Advertising sales agents,4.0,3.88,4.12,3.5,3.25,3.25,3.12,3.12,3.12,3.0,3.0,2.75,2.75,2.38,2.75,2.88,2.75,1.38,2.88,3.0,2.88
17-3021,Aerospace engineering and operations technologists and technicians,3.88,4.0,3.88,3.63,2.75,2.75,4.0,3.75,3.75,3.5,3.38,2.88,2.63,2.5,2.75,3.25,3.0,1.25,3.25,3.38,2.63
17-2011,Aerospace engineers,3.88,4.12,3.88,3.88,3.5,3.38,4.0,4.0,4.0,4.0,3.5,3.88,3.38,2.62,2.75,3.12,3.0,1.0,3.25,3.0,2.75
19-4010,Agricultural and food science technicians,3.68,3.68,3.68,3.62,2.88,2.69,3.62,3.44,3.5,3.32,3.32,3.12,3.06,2.25,2.31,3.06,3.0,1.69,2.68,3.0,2.82
19-1010,Agricultural and food scientists,4.04,4.04,4.0,3.92,3.46,3.37,3.92,3.96,4.04,3.79,3.92,3.29,3.21,2.71,2.58,3.12,2.96,1.5,2.96,3.13,2.83
