연번,지역,학교명,지정분야
1,서울,수도전기공업고등학교,에너지
2,서울,미림여자정보과학고등학교,뉴미디어콘텐츠
3,서울,서울로봇고등학교,로봇
4,서울,서울도시과학기술고등학교,해외건설플랜트
5,서울,용산철도고등학교,철도
6,부산,부산기계공업고등학교,기계
7,부산,부산자동차고등학교,자동차
8,부산,부산해사고등학교,해운
9,부산,부산소프트웨어마이스터고등학교,소프트웨어
10,대구,경북기계공업고등학교,기계
11,대구,대구일마이스터고등학교,자동차산업
12,대구,대구소프트웨어마이스터고등학교,소프트웨어
13,대구,대구농업마이스터고등학교,도시농업
14,대구,대구전자공업고등학교,반도체
15,인천,인천해사고등학교,해운
16,인천,인천전자마이스터고등학교,전자
17,광주,광주자동화설비공업고등학교,자동화설비
18,광주,광주소프트웨어마이스터고등학교,소프트웨어
19,대전,동아마이스터고등학교,기계·전자
20,대전,대덕소프트웨어마이스터고등학교,소프트웨어
21,울산,울산마이스터고등학교,기계·자동화
22,울산,현대공업고등학교,조선해양
23,울산,울산에너지고등학교,에너지
24,경기,수원하이텍고등학교,메카트로닉스
25,경기,평택기계공업고등학교,기계·자동차
26,경기,경기게임마이스터고등학교,게임기획·개발
27,강원,삼척마이스터고등학교,발전산업
28,강원,한국소방마이스터고등학교,소방방재
29,강원,한국항공고등학교,항공기계
30,충북,충북반도체고등학교,반도체
31,충북,한국바이오마이스터고등학교,바이오
32,충북,충북에너지고등학교,이차전지·에너지
33,충남,합덕제철고등학교,철강
34,충남,공주마이스터고등학교,표면처리
35,충남,연무대기계공업고등학교,자동차소재부품
36,충남,한국식품마이스터고등학교,식품제조
37,충남,아산스마트팩토리마이스터고등학교,스마트팩토리
38,전북,전북기계공업고등학교,기계
39,전북,군산기계공업고등학교,기계
40,전북,한국경마축산고등학교,말산업
41,전북,김제농생명마이스터고등학교,종자생명
42,전남,한국항만물류고등학교,항만물류
43,전남,여수석유화학고등학교,석유화학
44,전남,전남생명과학고등학교,친환경농업
45,전남,완도수산고등학교,수산물가공·양식
46,전남,한국에너지마이스터고등학교,에너지
47,경북,구미전자공업고등학교,전자
48,경북,금오공업고등학교,기계·전자
49,경북,포항제철공업고등학교,철강
50,경북,한국원자력마이스터고등학교,원자력
51,경북,한국국제통상마이스터고등학교,국제통상
52,경북,경북식품과학마이스터고등학교,식품품질관리
53,경북,경북소프트웨어마이스터고등학교,소프트웨어
54,경북,한국해양마이스터고등학교,스마트해양
55,경남,삼천포공업고등학교,항공산업
56,경남,거제공업고등학교,조선해양
57,경남,한국나노마이스터고등학교,나노반도체
58,경남,공군항공과학고등학교,항공·전자
